expNumber,#,datetime,ms,Net_Sent,pgpgin,Tcp_Established,pgmajfault,OperatingSystemImpl.ProcessCpuLoad,OperatingSystemImpl.FreeSwapSpaceSize,pgalloc_dma,OperatingSystemImpl.FreePhysicalMemorySize,Cached,pgfault,Buffers,nr_active_file,nr_inactive_file,Inactive,Tcp_Listen,Net_Received,Tcp_TimeWait,Tcp_Syn,pgdeactivate,Tcp_Close,SwapFree,pgfree,Active,OperatingSystemImpl.CommittedVirtualMemorySize,MemFree,pgpgout,OperatingSystemImpl.ProcessCpuTime,pgactivate
2,7,Tue Apr 18 11:20:17 CEST 2017,1492507217190,0,930857,0,4443,0.2222222222222222,733593600,13613,184860672,182300,1482112,10940,29501,15022,446432,4,0,0,0,247674,0,716400,47184056,1293080,2550022144,180528,320476,3120000000,167706
2,8,Tue Apr 18 11:20:17 CEST 2017,1492507217290,0,930857,0,4443,0.0,733593600,13613,184860672,182300,1482295,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47184194,1293096,2550022144,180560,320476,3120000000,167706
2,9,Tue Apr 18 11:20:17 CEST 2017,1492507217390,0,930857,0,4443,0.1,733593600,13613,184893440,182300,1482480,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47184336,1293096,2550022144,180560,320476,3130000000,167706
2,10,Tue Apr 18 11:20:17 CEST 2017,1492507217490,0,930857,0,4443,0.0,733593600,13613,184893440,182300,1482663,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47184475,1293096,2550022144,180560,320476,3130000000,167706
2,11,Tue Apr 18 11:20:17 CEST 2017,1492507217590,0,930857,0,4443,0.09090909090909091,733593600,13613,184893440,182300,1482847,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47184612,1293096,2550022144,180560,320476,3140000000,167706
2,12,Tue Apr 18 11:20:17 CEST 2017,1492507217690,0,930857,0,4443,0.2222222222222222,733593600,13613,184893440,182300,1483038,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47184754,1293140,2550022144,180560,320476,3160000000,167706
2,13,Tue Apr 18 11:20:17 CEST 2017,1492507217790,0,930857,0,4443,0.0,733593600,13613,184893440,182300,1483222,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47184894,1293140,2550022144,180560,320476,3160000000,167706
2,14,Tue Apr 18 11:20:17 CEST 2017,1492507217890,0,930857,0,4443,0.125,733593600,13613,184893440,182300,1483407,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47185035,1293140,2550022144,180560,320476,3170000000,167706
2,15,Tue Apr 18 11:20:17 CEST 2017,1492507217990,0,930857,0,4443,0.0,733593600,13613,184893440,182300,1483594,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47185174,1293140,2550022144,180560,320476,3170000000,167706
2,16,Tue Apr 18 11:20:18 CEST 2017,1492507218090,0,930857,0,4443,0.1111111111111111,733593600,13613,184893440,182300,1483778,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47185317,1293140,2550022144,180560,320476,3180000000,167706
2,17,Tue Apr 18 11:20:18 CEST 2017,1492507218190,0,930857,0,4443,0.0,733593600,13613,184893440,182300,1483963,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47185458,1293140,2550022144,180560,320476,3180000000,167706
2,18,Tue Apr 18 11:20:18 CEST 2017,1492507218290,0,930857,0,4443,0.0,733593600,13613,184893440,182300,1484145,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47185597,1293144,2550022144,180560,320476,3180000000,167706
2,19,Tue Apr 18 11:20:18 CEST 2017,1492507218390,0,930857,0,4443,0.0,733593600,13613,184893440,182300,1484328,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47185737,1293144,2550022144,180560,320476,3180000000,167706
2,20,Tue Apr 18 11:20:18 CEST 2017,1492507218490,0,930857,0,4443,0.1111111111111111,733593600,13613,184893440,182300,1484512,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47185878,1293144,2550022144,180560,320476,3190000000,167706
2,21,Tue Apr 18 11:20:18 CEST 2017,1492507218590,0,930857,0,4443,0.0,733593600,13613,184893440,182300,1484695,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47186017,1293144,2550022144,180560,320476,3190000000,167706
2,22,Tue Apr 18 11:20:18 CEST 2017,1492507218690,0,930857,0,4443,0.2222222222222222,733593600,13613,184893440,182300,1484881,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47186155,1293144,2550022144,180560,320476,3210000000,167706
2,23,Tue Apr 18 11:20:18 CEST 2017,1492507218790,0,930857,0,4443,0.1,733593600,13613,184893440,182300,1485065,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47186295,1293144,2550022144,180560,320476,3220000000,167706
2,24,Tue Apr 18 11:20:18 CEST 2017,1492507218890,0,930857,0,4443,0.0,733593600,13613,184893440,182300,1485250,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47186433,1293144,2550022144,180560,320476,3220000000,167706
2,25,Tue Apr 18 11:20:18 CEST 2017,1492507218990,0,930857,0,4443,0.1,733593600,13613,184893440,182300,1485434,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47186573,1293144,2550022144,180560,320476,3230000000,167706
2,26,Tue Apr 18 11:20:19 CEST 2017,1492507219090,0,930857,0,4443,0.1111111111111111,733593600,13613,184893440,182300,1485631,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47186712,1293232,2550022144,180560,320476,3240000000,167706
2,27,Tue Apr 18 11:20:19 CEST 2017,1492507219190,0,930857,0,4443,0.1,733593600,13613,184893440,182300,1485815,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47186852,1293232,2550022144,180560,320476,3250000000,167706
2,28,Tue Apr 18 11:20:19 CEST 2017,1492507219290,0,930857,0,4443,0.1,733593600,13613,184893440,182300,1485999,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47186993,1293208,2550022144,180560,320476,3260000000,167706
2,29,Tue Apr 18 11:20:19 CEST 2017,1492507219390,0,930857,0,4443,0.0,733593600,13613,184893440,182300,1486181,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47187132,1293208,2550022144,180560,320476,3260000000,167706
2,30,Tue Apr 18 11:20:19 CEST 2017,1492507219490,0,930857,0,4443,0.09090909090909091,733593600,13613,184893440,182300,1486365,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47187273,1293208,2550022144,180560,320476,3270000000,167706
2,31,Tue Apr 18 11:20:19 CEST 2017,1492507219590,0,930857,0,4443,0.1111111111111111,733593600,13613,184893440,182300,1486552,10940,29504,15019,446420,4,0,0,0,247674,0,716400,47187412,1293208,2550022144,180560,320476,3280000000,167706
